 Z1512, T:The Clemenceau Case, Theda Bara, \Und, R:vamp, T:The Clemenceau Case, D:Unknown15, PN:, SU:, bws, Dram, aw, lc, 
 RTu3, T:Out of Bounds, Jeff KOber, \Und, RU:, T:Out of Bounds, D:Tuggle, PU:, SU:, prc, CnR, ," L.A., CA", R(R)
 LSm17, T:Jungle Man-Eaters, Karin Booth, \Und, RU:, T:Jungle Man-Eaters, D:Sholem, PN:Sam Katzman, St:Columbia, bnw, Advt, , Africa, Ser(Jungle Jim; n/16) 
 RbG10, T:It Came from beneath the Sea, Faith Domergue, \Lov, R:lovely scientist, T:It Came from beneath the Sea, D:Rbt.Gordon, PN:Charles H. Schneer, St:Columbia, bnw, ScFi, ," S.F., CA", V(Harryhausen) 
 GTi10, T:Soul Food, Michael Beach, \Und, RU:, T:Soul Food, D:Tillman, PU:, SU:, prc, Ctxx, , , 
 TFi9, T:Dracula, s a, \Und, RZ:prisoner of monks, T:Dracula, D:Fisher, PN:Anthony Hinds," St:Hammer, Warner", \Tcol, Horr, H***, Sweden, Seen(30Sep1990)) W(Jimmy Sangster) C(Jack Asher) M(James Bernard) V(Bernard Robinson) B(Bram Stoker Alt(T:Horror of Dracula; USA)
 RRe10, T:A Few Good Men, Kevin Bacon, \Und, R:falsely accused, T:A Few Good Men, D:Regan, PN:, St:Columbia, col, Ctxx, aw," Mil.Inst., Guantanomo, Cuba; Washington, DC", W(Aaron Sorkin) 
 SOS10, T:Sparkle, s a, \Und, R:gangster, T:Sparkle, D:OSteen, PN:, SU:, prc," Musc,BioP", -H, lc, W(Joel Schumacher) M(Curtis Mayfield) 
 AES90, T:One Night in the Tropics, Mary Boland, \Und, RU:, T:One Night in the Tropics, D:A.E.Sutherland, PN:Leonard Spiegelglass, St:Universal, bnw," Comd,Musc", H," island, Carribean"," B(Earl Derr Biggers) M(Andre Previn, Oscar Hammerstein, H.Jerome Kern, Dorothy Fields) "
 BDH30, T:Scrooge, C.Konarski, \Und, R:the spirit of Christmas yet to come, T:Scrooge, D:Hurst, PN:, SU:, prc-w, Dram, , , B(Dickens) 
 GnN10, T:Hand of Death, Butch Patrick, \Und, RU:, T:Hand of Death, D:Gn.Nelson, PN:Eugene Ling, St:Fox, bnw, Horr, aw," laboratory, desert, West", 
 NNo13, T:Full Exposure: The Sex Tape Scandal, Lisa Hartman, \Und, RU:, T:Full Exposure: The Sex Tape Scandal, D:N.Nosseck , PU:, S:Worldvision, TV, Porn, aw, , 
 RSt410, T:In the Cool of the Day, Jane Fonda, \Und, R:unfaithful, T:In the Cool of the Day, D:R.Stevens, PN:, SU:, prc, Ctxx, aw, lc, 
 RBe1, T:Bad Company, Jeff bridges, \Und, RU:, T:Bad Company, D:Benton, PN:, SU:, prc, West, , , 
 WlD19, T:Fog Over Frisco, Alan Hale, \Und, RU:, T:Fog Over Frisco, D:Dieterle, P:Blanke, St:Warners, bnw, Susp, H***," S.F., CA "
 Z9740, T:Paradise Road, Glenn Close," \Vic, \Sav"," music director ""Margaret Driver"""
 IdL2, T:Outrage, s a, \Und, R:raped girl, T:Outrage, D:Lupino, PN:Collier Young, St:FilmMakers, bnw, Dram, -H, , 
 IrC77, T:Hollywood Cavalcade, Chester Concklin, \Und, RU:, T:Hollywood Cavalcade, D:I.Cummings, PN:Harry Joe Brown, St:Fox, col, Dram, ," Hollywood, CA", 
 SvB10, T:Heavyweights, Leah Lail, \Und," R:good nurse, loves Pat ""Julie""", T:Heavyweights, D:Brill, PN:, St:Disney, col, Comd, aw, lc," R(PG) W(Judd Apatow, Brill) "
 S15, T:The Scarlet Empress, Jameson Thomas, \Und, RU:, T:The Scarlet Empress, D:Sternberg, PN:, St:Paramount, bnw, BioP, H***, , M(Wagner) Seen(16Feb1988) 
 JSt1, T:Three, Mario Cotone, \Und," RN:""Silvano""", T:Three, D:Salter, PU:, SU:, prc, Romt, beach, , B(Irwin Shaw) W(Salter)
 AJG50, T:A Chump at Oxford, Peter Cushing, \Und, RU:, T:A Chump at Oxford, D:A.Goulding, P:Roach, SU:, bnw, Comd, H**," Oxford, England", 
 DMD40, T:Christopher Columbus, s a, \Und," RN:""Pedro""", T:Christopher Columbus, D:D.MacDonald, P:B.Box," St:Rank, Gainsborough", \Tcol, Advt, H," court, Spain; Atlantic Ocean; T(1492)", Seen(12Oct1992) 
 GMu15, T:Young Guns II, ChristianBradley Whitford, \Und, RU:, T:Young Guns II, D:G.Murphy, PN:, SU:, prc, West, aw, lc, Inc(40M) 
 WRe25, T:The Aristocats, Sterling Holloway, \Voi, RU:, T:The Aristocats, D:Reitherman, P:, St:Disney, \Tcol, Cart, H**, , 
 MP25, T:Oh Rosalinda!!, Ludmilla Tcherina, \Und, R:foreign lady, T:Oh Rosalinda!!, D:M.Powell, P:Emeric Pressburger, SL:\GB, \Tcol, Musc, ," Vienna, Austria; T(1946)"," M(Johann Strauss ""Die Fledermaus) CoD(Pressburger) "
 Z9860, T:Bound, Joe Pantolino, \Und, RU:, T:Bound, D:UnYear98, PU:, SU:, prc, Ctxx, , lc, Cost(3M)
 KRu32, T:Prisoner of Honor, Peter Vaughn, \Und, RU:, T:Prisoner of Honor, D:Russel," PN:Judith Rutherford James, Richard Dreyfuss", St:HBO, TV, Hist, , France T(1917?), 
 PPr20, T:Voyage Suprise," Pierre pi\""eral", \Und, R:dwarf, T:Voyage Suprise, D:Prevert, PN:, SU:, prc, Comd, aw," bus, France; brothel", M(Kosma) Lang(\Fr) W(Jacques~Prevert) 
 BBr10, T:Tatoo, Maud Adams, \Und," R:kidnapped, tatooed, kills tattooist, topless ""Maddy""", T:Tatoo, D:B.Brooks, P:Levine, , \Tcol, Ctxx, aw, , C(Wurtzel) 
 ELM19, T:Gold Rush Maisie, Scotty Beckett, \Und, RU:, T:Gold Rush Maisie, D:E.Marin, P:Ruben, St:MGM, prc, Comd, aw, lc," Ser(Maisie, 3) "
 StD4, T:Royal Wedding, Albert Sharpe, \Und, RU:, T:Royal Wedding, D:Donen, P:Freed, St:MGM, \Tcol, Musc, H," Ocean liner, Atlantic; London, England"," M(Burton Lane, Alan Jay Lerner; AAN) VT() "
 SRo20, T:Cool Hand Luke, Lou Antonio, \Und, RU:, T:Cool Hand Luke, D:Rosenberg, PN:Gordon Carrol, St:Warners, \Tcol, Dram," H**, Z*"," prison, USA"," B(Donn Pearce) W(Donn Pearce, Frank R. Pierson; AAN) M(Lalo Schiffrin) "
 SvA10, T:South Central, Kevin best, \Und," R:rival, smack man, with woman", T:South Central, D:S.Anderson," PN:Oliver Stone, Janet Yang, William B. Sreakley", SU:, prc, Dram, aw," L.A., CA", 
 C109, T:Kid Galahad, Joseph Crehan, \Und, RU:,"|
tr>", C112, T:The Adventures of Robin Hood, Errol Flynn, \Her," R:hero ""Robin Hood""", T:Kid Galahad, D:Curtiz, PU:, S:Warners, bnw, Dram, aw, lc," M(Heinz Roemheld, Steiner)"
 FrF28, T:Girly, Michael Bryant, \Und," R:victims drunken boyfriend, assumes guilt", T:Girly, D:Francis, PN:Ronald j. Kahn, St:Cinerama releasing, col, Horr, aw," manor, England", R(R) 
 MiK2, TZ:Forty Carats, Edward Albert, \Und, RU:, Tm:Forty Carats, D:Katselas, PN:, SU:, prc, CTxx, aw, lc, R(PG) W(Leonard Gershe) 
 Z9820, T:Senseless, Tamara Taylor, \Und," R:Darrl's girlfriend, executive's daughter ""Janice""", T:Senseless, D:UnYear98, PU:, SU:, col, Comd, aw, Stratford University, 
 RoS98, T:The Love Bug, Buddy Hackett, \Und, RU:, T:The Love Bug, D:Stevenson, P:Bill~Walsh, St:Disney, \Tcol, Fant, H**, roads 
 GM305, T:The Gazebo, Martin Landau, \Und, RU:, T:The Gazebo, D:Geo.Marshall, PN:Lawrence Weingarten, St:MGM, \Tcol," Susp, Comd", H*, garden, 
 HeD104, T:The Better Bargain, Jack Lambert, \Und, RU:, T:The Better Bargain, D:Daugherty, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , , TV(2Dec1956) Le(30m) B(Richard Deming) VT(N:HP2 
 RWF8, T:The Merchant of Four Seasons, Kurt Raab, \Und, RU:, T:The Merchant of Four Seasons, D:Fassbinder, PN:, St:Tango, col, Dram, aw, lc, W(Fassbinder) 
 JiA9, T:When Twins are Interchanged, Fred Ward, \Und, RU:, T:When Twins are Interchanged, D:J.Abrahams, P:, SU:, col, Comd, ," town, USA", Er(title) 
 H5, T:The Blackguard, Frank Stanmore, \Und, RU:, T:The Blackguard, D:Hitchcock, P:Balcon," St:UFA, SD:Wardour", sbw, , , , CoD(Cutts) 
 RS20, T:1492: Conquest of Paradise, Steve Waddington, \Und, RU:, T:1492: Conquest of Paradise, D:R.Scott," PN:R.Scott, Roselyne Bosch", SU:, col, BioP, , Spain; Carribean, W(Roselyne Bosch) M(Vangelis) 
 CDM45, T:The Ten Commandments, Charles deRoche, \Und," R:pharao ""Ramses II""", T:The Ten Commandments, D:DeMille, P:DeMille, SU:, bws, Epic, ," Egypt, Palestine", 
 MlW10, T:Glorifying the American Girl, Adolph Zukor, \Cam, R:producer, T:Glorifying the American Girl, D:M.Webb, P:Ziegfeld, SU:," bnw, \Tcol", Musc, , , G(Ted Shawn) 
 PeB6, T:King Lear, Jack MacGowran, \Und, RU:, T:King Lear, D:Brook, PN:Michael Birkett, St:Columbia, bnw, Dram, H*," csd,England", B(Shakespeare) 
 xGa10, T:St.Joan -- The Maid, Simone Genevois, \Her," R:martyr ""Joan of Arc""", T:St.Joan -- The Maid, D:Gastyne, PN:, SU:, prc, Dram, aw, lc, 
 TGi6, T:The Adventures of Baron Munchhausen, Christopher Lambert, \Und, RU:, T:The Adventures of Baron Munchhausen, D:Gilliam, PN:, St:Columbia, col, Fant, , Germany; T(1780), B(Rudolph Raspe) Cost(46M) 
 GDo32, T:The Charge at Feather River, Dick Wesson, \Und, RU:, T:The Charge at Feather River, D:G.Douglas, PN:, St:Warners," col,3D", West, ," csd, CO", W(James R. Webb) M(Steiner) 
 WvD64, T:Marie Antoinette, Gladys George, \Und," R:courtesan ""Madame DuBarry""", T:Marie Antoinette, D:VanDyke, PN:, St:MGM, bnw," Epic, BioP", [47]," Paris, France"," le(160m) W(David Ogden Stewart, Claudine West, Ernest Vajda) "
 SpJ11, T:He Got Game, s a, \Und, R:threatening agent, T:He Got Game, D:Spike~Lee," PN:Spike~LEE, John Kilik", S:40 Acres and a mule; SD:Buena Vista, col, Dram, ," Coney Island, NY", W(Spike~Lee) M(Aaron Copeland) Seen(11Sep1998)
 LuB15, T:Waltztime in Vienna, Anton Walbrook, \Und," R:composer ""Johann Strauss jr.""", T:Waltztime in Vienna, D:Berger, PN:, SL:\Ge, bnw, BioP, aw, lc, 
 EMr15, T:Sissi - Schicksalsjahre einer Kaiserin, s a, \Und," R:Hungarian count, companion Aqndrassy""", T:Sissi - Schicksalsjahre einer Kaiserin, D:Marischka, PU:, SU:, prc," Hist, Romt", , Austria; Hungary, Ser(Sissi; 3)
 AES100, T:Follow the Boys, Artur Rubinstein, \Cam, RU:, T:Follow the Boys, D:A.E.Sutherland, P:Charlie~Feldman, St:Universal, bnw, Musc, H*, mil.inst.; T(1944)," M(Jule~Styne, Sammy Cahn;AAN) C(David Abel) "
 JPH2, T:Ebb Tide, Lina Basquette, \Und, R:Polynesian concubine, T:Ebb Tide, D:J.Hogan, PN:Lucien Hubbard, St:Paramount, \Tcol, , H**, , B(R.L. Stevenson) 
 MWa4, T:Woodstock, Richie Havens, \Und," R:musician ""Richie Havens""", T:Woodstock, D:Wadleigh, PN:, SU:, col, Docu, H," csd, NY; T(1969)"," Le(3h, 4h) "
 JnL13, T:The Distinguished Gentleman, James Garner, \Und, R:politician6~, T:The Distinguished Gentleman, D:Lynn, PN:, SU:, col, Comd, aw," Washington, DC", ,"|
", JnL15, T:Greedy, 1994, D:Lynn, PN:Brian Grazer, St:Universal, col, Comd, aw, 
 Z9930, T:Sachem Farm, Nigel Hawthorne, \Und, RU:, T:Sachem Farm, D:UnYear99, PU:, SU:, prc, Ctxx, , lc, 
 IFa14, T:A Bill of Divorcement, Maureen OHara, \Und, R:daughter, T:A Bill of Divorcement, D:Farrow, PN:, St:RKO, bnw, , H*, lc, 
 JW11, T:Show Boat, Queenie Smith, \Und," RN:""Ellie""", T:Show Boat, D:Whale, P:Laemmle~jr, St:Universal, bnw, Musc, H***, , M(Jerome Kern) P(Hammerstein) B(Edna Ferber) 
 CSG10, T:Jungle Moon Men, Angelo Rossitto, \Und, RU:, T:Jungle Moon Men, D:Gould, PN:Sam Katzman, St:Columbia, bnw, Advt, , Africa, Ser(Jungle Jim;17) 
 DLy5, T:Dune, Patrick Stewart, \Und, RU:, Tm:Dune, D:D.Lynch, P:R.DeLaurentiis," St:DeLaurentiis, SD:Universal", \Tcol, ScFi, H, desert, W(Lynch) R(PG) Cost(50M) Seen(6Sep1991) 
 Rbt20, T:The Last Word, Richard Harris, \Und, R:inventor
 WBe15, T:Bulworth, Paul Sorvino, \Und, RU:, T:Bulworth, D:Beatty, P:Beatty, SU:, prc, Comd, ," Washington, DC, L.A., CA"," W(Beatty, Jeremy Pikser; AAN) R(R)"
 JuB100, T:Alibi Me, Charlie Cantor, \Und," R:telegraph boy, breaks alibi", T:Alibi Me, D:Bricken, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, ," town, Northeast", TV(11Nov1956) Le(30m) Seen(11Dec1991) VT(N:HP1) 
 BW16, T:Some Like It Hot, Tom Kennedy, \Und, RU:, T:Some Like It Hot, D:B.Wilder, P:B.Wilder," St:U.a., Mirisch", bnw, Comd," F02,H***, AAN dir"," Chicago, IL; Miami, FL; T(~1925)"," W(IAL.Diamond, B.Wilder; AAN) C(Charles Lang jr.; AAN) Seen(1987) "
 YMZ20, T:Ju Dou, Li Wei, \Und," R:dye factory owner, vicious husband", T:Ju Dou, D:YM.Zhang, PN:, SU:, col, Dram, AAN," NortWest, China; T(1920)", 
 EDi12, T:Surviving the Game, F.Murray Abrahams, \Und, RU:, T:Surviving the Game, D:Dickerson, PN:, SU:, col, Actn, aw, lc, R(R) 
 HKl23, T:Step Down to Terror, Jocelyn Brando, \Und, RU:, T:Step Down to Terror, D:Keller, PN:Joseph Gershenson, St:U-I, bnw, Susp, H, lc, Alt(T:The Silent Stranger; \GB)
 JFr15, T:Venus in Furs, Manfred Mann, \Und, R:party musician, T:Venus in Furs, D:Franco, PN:Harry Alan Towers, St:AIP, , Horr, aw," Instanbul, Turkey; Rio de Janeiro, Brazil"," Nt(distinct from 1970 \It, 1967 \Am films of same names) R(R) Alt(T:Paroxismus; \Ge)"
 JS42, T:Brazil, Roy Rogers, \Und, RU:, T:Brazil, D:Santley, P:Robert North, St:Republic, bnw, Musc, , ," M(Walter Scharf, Ary Barossa ""Rio de Janeiro; AAN) "
 JNm61, T:Death of A Cop, Lawrence Tierney, \Vil," R:mobster, caught", T:Death of A Cop, D:J.Newman, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, , , TV(24May1963) Le(1h) B(Douglas Warner) W(Leigh Brackett) 
 RoJ1, T:The Killing Fields, Spalding Gray, \Und, R:assistant bto US ambassador, T:The Killing Fields, D:R.Joffe, P:Puttnam," St:Goldcrest, Enigma", col," Dram,Docu"," H***, AAN, BFA, EB****", Cambodia, Er(19xx) C(Menges) 
 AR4, T:Hiroshima Mon Amour, Eiji Okada, \Und," R:Japanese architect, killed", T:Hiroshima Mon Amour, D:Resnais, PN:, SU:, , Dram, aw, lc, W(Duras) 
 HaM10, T:Who needs an Enemy?, Joanna, \Sdk," R:girlfriend, deceives", T:Who needs an Enemy?, D:H.Morgan, P:Hitchcock," St:Shamley, CBS"," bnw,TV", Susp, , T(1945), TV(15May1964) Le(1h) W(Arthur Ross) B(Henry Slesar)) 
 ESP18, T:Tess of the d'Ubervilles, Minnie Madern Fiske, \Und, RU:
 IH26, T:The List of Adrian Messenger, John Huston, \Cam, RU:, T:The List of Adrian Messenger, D:J.Huston, PN:Edward Lewis, St:UI, bnw, Susp, H**, lc, M(Jerry Goldsmith) 
 JWH12, T:The High Sign, Buster Keaton, \Und, RU:, T:The High Sign, D:Horne, PN:, SU:, bws, Comd, , lc, Le(short) Er(D) 
 DCh10, TZ:Jason and the Argonauts, Gary Raymond, \Und, RU:, T:Jason and the Argonauts, D:Chaffey, PN:Charles H. Schneer, St:Columbia, \Tcol, Fant, H***, Mediterranean sea, R(G) M(Bernard Herrmann) V(Harryhausen) 
 HbR7, T:The Sunshine Boys, Richard Benjamin, \Und, RU:, T:The Sunshine Boys, D:H.Ross, PN:, SU:, prc, Ctxx, aw, lc, 
 ERr22, T:La Genou de Claire, s a, \Und," R:novelist, commentator", T:La Genou de Claire, D:Rohmer, PN:, SU:, prc, Romt, aw, France, Alt(T:Claire's Knee)
 LiH10, T:Silk Stockings, John Bynes, \Und, RU:, T:Silk Stockings, D:Hassani, PN:, SU:, col," CnR,Porn", aw, lc, 
 DeD60, T:Jubal, Noah Beery~jr., \Und, RU:, T:Jubal, D:Daves, PN:William Fadiman, St:Columbia, \CS \Tcol, West, H," West,Romt", 
 NiR31, T:Insignificance, Theresa Russel, \Und, R:super intellectual, T:Insignificance, D:Roeg, PN:, SU:, prc, Ctxx, aw, lc, Er(1984?) 
 GMf60, T:Dracula, Lupita Tovar, \Und," R:curious, bitten ""Lucy""", T:Dracula, D:Melford, PN:Lasky, St:MCA, bnw, Horr, aw, Transylvania, B(Bram Stoker) Nt(shot on same sets as TBr55) Lang(\Sp) 
 AkK22, T:High and Low, s a, \Und," R:chauffeur's son, kidnapped by mistake", T:High and Low, D:Kurosawa, PN:, SU:, , Susp, ," suburb, Japan; Bullet train, Japan; slums, Japan"," B(Ed McBain ""King's Ransom) "
 El35," T:Ich M\""ochte Kein Mann Sein"," Kurt G\""otz", \Und, R:doctor," T:Ich M\""ochte Kein Mann Sein", D:Lubitsch, PN:, St:Union SD:UFA, bws, Comd, aw, lc," W(Hans Kr\""aly, Lubitsch) "
 JN16, T:Lure of The Wilderness, Jack Elam, \Und, RU:, T:Lure of The Wilderness, D:Negulesco, PN:Robert J. Lacks, St:Fox, \Tcol, Horr, H, lc, 
 HH21, T:Bringing Up Baby, Asta, \Ani\Cam, R:dog; George, T:Bringing Up Baby, D:Hawks, P:Hawks, St:RKO," bnw,cld", Comd," H***, F05"," suburb, CN; museum, NYC, NY"," W(D.Nichols, Hagar Wilde) V(Linwood~Dunn) M(Roy Webb) Seen(12Mar1988) "
 MZ1, T:Loving Couples, Eva Dahlbeck, \Und, RU:, T:Loving Couples, D:Zetterling, PN:Rune Waldekranz, St:Sandrew, bnw, Dram, H*, lc, 
 LAn1, T:Thirteen at Dinner, David Suchet, \Und, RU:, T:Thirteen at Dinner, D:Antonio, PN:, SU:, prc, Ctxx, aw, lc, B(Agatha Christie) 
 BLe5, T:Tin Men, Bruno Kirby, \Und," RN:""Mouse""", T:Tin Men, D:B.Levinson, PN:Mark Johnson, SU:, col, Comd, ," Baltimore, MD", Seen(1987) R(R) W(B.Levinson) 
 WvD51, T:The Thin Man, Edward Brophy, \Und, RU:, T:The Thin Man, D:VanDyke, P:Stromberg, St:MGM, bnw, Comd," F57, H****, AAN, AAN dir", ," W(Frances Goodrich, Albert Hackett; AAN) B(Dashiell~Hammett) VT() Ser(Thin Man; 1) C(James Wong Howe) "
 NoL10, T:Bulldog Drummond at Bay, Richard Bird, \Und, RU:,, NoL26, T:No Escape, Robert Cochran , \Und," R:pretends to be dead, nealy shot by jealous husband ""Beeston"""
 JLT39, TZ:Ten to Midnight, Lisa Eilbacher, \Und," R:rejects, murdered", Tm:Ten to Midnight, D:LeeThompson, PN:19, St:Golan-Globus, \Mcol, Dram, H, lc, R(R) 
 OlS12, T:Wall Street, Monique VanVooren, \Und, RU:, T:Wall Street, D:Ol.Stone, PN:, SU:, col, CTxx, 
 LeB10, T:Bad Behaviour, Phil Daniels, \Und," R:twin construction worker, cheated ""Nunn 2""", T:Bad Behaviour, D:Blair, PN:, SU:, col, Romt, aw," Kentish town, London, England", 
 GnN15, T:Harum Scarum, Billy Barty, \Und, R:kid, T:Harum Scarum, D:Gn.Nelson, PN:Sam Katzman, St:MGM, col, Musc, aw," desert, MiddleEast", 
 WFr70, T:The Guardian, s a, \Und," R:neighbor, attacked", T:The Guardian, D:Friedkin, PN:, SU:, col, Horr, , , 
 WiW1, T:Kings of the Road, Hanns Zischler, \Und, RU:, T:Kings of the Road, D:Wenders, PN:, SL:FRG, , , [4], 
 JnL12, T:My Cousin Vinny, Austin Pendleton, \Und, RU:, T:My Cousin Vinny, D:Lynn," PN:Dale Launer, Paul Schiff", St:Fox, \DeLuxe, Comd, aw," town, AL", W(Dale Launer) Er(gn Schiff) 
 RAl30, T:Vincent and Theo, Bernadette Giraurd, \Und," R:physician's daughter, fond of Vincent"
 BuS10, T:Johnny Be Good, Uma Thurman, \Und, R:confused girlfriend, T:Johnny Be Good, D:Bud.Smith, PU:, SU:, prc, Ctxx, , lc, 
 MBr19, T:Scent of a Woman, Gabrielle Anwar, \Und, RU:, T:Scent of a Woman, D:Brest, P:Brest, St:Universal, col, Comd," school, Midwest; NYC, NY", , W(B.Goldman) 
 HBH75, T:Madison Avenue, David White, \Und, RU:, T:Madison Avenue, D:Humberstone, P:Humberstone, St:Fox, bnw \CS, Dram, H, , Seen(pa19rt) 3Sep89 W(Norman Corwin) 
 MuB5, T:The Beachcomber, Ronald Lewis, \Und, RU:, T:The Beachcomber, D:Box," P:Pommer, William McQuitty", St:GFD, \Tcol, Romt, H*, Dutch East Indies 
 Z9310, T:Life With Mikey, Michael J. Fox, \Und, RU:, T:Life With Mikey, D:UnYear93, PN:, St:Fox, prc, Ctxx, aw, lc, 
 JoP42, T:Starring the Defense, s a, \Und, R:accused son, T:Starring the Defense, D:Pevney, P:Hitchcock," St:Shamley,NBC"," bnw,TV", Susp, , , TV(15Nov1963) Le(30m) W(B(Henry Slesar)) 
 H68, T:Poison, Arnold Moss, \Sci, R:doctor, T:Poison, D:Hitchcock," P:Hitchcock,J.Harrison"," St:Shamley,CBS"," bnw,TV", Susp, , , TV(5Oct58) Le(30m) B(Roald Dahl) VT(N:HR2) 
 RBx10, T:Man Bites Dog, Remy Belvaux, \Und, R:film reporter, T:Man Bites Dog, D:Belvaux, PN:, SU:, bnw, Actn, aw, lc, R(NC17) C(Andre Bonzel) Lang(\Fr) 
 EAr12, T:Gypsy, Whitney Green, \Und, RU:, T:Gypsy, D:Ardolino," PN:Ardolino, Gilmore", St:TNT, col, Musc, aw, ," M(Sondheim,) G(Jerome Robbins) Seen(11Mar1994) "
 MCh5, TZ:Hussy, John Shea, \Und, RU:, Tm:Hussy, D:Ma.Chapman, PN:, St:Boyd's company, \Ecol, Dram, H, , R(R) 
 SM4, T:Mandy, Dorothy Alison, \Und, RU:, T:Mandy, D:Mackendrick, PN:Leslie Norman, St:Ealing, bnw, Docu, H***, lc, 
 FF50, T:Intervista, s a, \Und, R:Japanese translator, T:Intervista, D:Fellini, PN:Buseo Mabos, SU:," col, bnw"," Dram,BioP", ," Cinecitta, Rome, Italy", Seen(28Dec1992) Er(sp P) 
 DLy21, T:The Straight Story, s a, \Und, R:ailing brother, T:The Straight Story, D:D.Lynch, PU:, SU:, prc, Advt, , lc, 
 W66, T:Call of the Wild, s a, \Ani, R:dog joins pack, T:Call of the Wild, D:Wellman, P:D.F.Zanuck, St:20th Century, bnw, Advt, H*, B(Jack London) 
 RFl20, T:Murders in the Rue Morgue, Darcy Corrigan, \Und, RU:, T:Murders in the Rue Morgue, D:Florey," P:Laemmle~jr,", St:Universal, bnw, , H*," Paris, France", W(J.Huston) B(Poe) 
 MdO115, T:Vale Abrao, Leonor Silveira, \Und," R:woman wants independence ""Ema""", T:Vale Abrao, D:deOliveira, PN:, SU:, prc," Docu,Dram", aw, ," W(deOliveiro) B(Flaubert ""Madame Bovary) Lang(\Pg)"
 JVm10, T:Stalingrad, s a, \Und," R:soldier, killed ""GeGe""", T:Stalingrad, D:Vilsmaier, PN:, SU:, prc," Docu, Dram", aw," Volgograd, Russia; T(1943)", Lang(\Ge) 
 IaS10, T:The Final Option, Lewis Collins, \Und," R:miltary officer, infiltrates", Tm:The Final Option, D:I.Sharp, PN:, SU:, prc, Actn, CG**, lc, R(R) 
 JqD3, T:The Blond Sinner, Jeanne Moreau, \Und, RU:, T:The Blond Sinner, D:J.Demy, PN:, SU:, prc, Romt, aw, lc, NT(title orig) 
 LB25, T:El Angel Exterminador, Jose Baviera, \Und, RU:, T:El Angel Exterminador, D:Bunuel, PN:Gustavo Alatriste, St:Unici, bnw, Fant, H***, dining room; church, Alt(T:The Exterminating Angel; USA)Alt(T:Angel of Death; USA)
 RiF24, TZ:Fantastic Voyage, Arthur Kennedy, \Und, RU:, T:Fantastic Voyage, D:R.Fleischer, PN:Saul David, St:Fox, \DeLuxe \CS, ScFi, H*, inside a human body, C(E.Laszlo; AAN) V(Dale Hennessey; AA) 
 JqB20, T:Edouard et Caroline, Betty Stockfield, \Und, RU:, T:Edouard et Caroline, D:J.Becker, PN:," St:UGC,CICC", bnw, Comd, H**," home, France", 
 VdS24, T:The Garden of the Finzi-Continis, Romolo Valli, \Und, R:father, T:The Garden of the Finzi-Continis, D:deSica, PN:Gianni Hecht Lucari, SU:, , Dram, ," Rome, Italy "
 KBr12, T:Peter's Friends, Imelda Staunton, \Und," R:wife, lost child", T:Peter's Friends, D:Branagh, P:Branagh," St:Renaissance, Goldwyn", col, Comd, , ," country estate, England"," W(Rita Rudner, Martin Bergman) "
 RDa1, T:The Green Man, Dora Bryan, \Und, RU:, T:The Green Man, D:R.Day," P:Launder, Gilliat", St:BL, bnw, Comd, H*, lc," W(Launder, Gilliat) "
 WhS1, T:Metropolitan, Edward Clements, \Und, RU:, T:Metropolitan, D:Stillman, PN:, SU:, prc," Dram, Comd", aw," condos, NYC, NY", 
 SG37, T:Champes-Elyse\'es, Liane Pathe, \Und," R:courtesan ""Madame DuBarry""", T:Champes-Elyse\'es, D:Guitry, PN:, SU:, prc, BioP, aw, lc, 
 AMa60, T:Birds Do It, Arthur OConnell, \Und, RU:, T:Birds Do It, D:Marton, PN:Stanley Colbert, St:Columbia, col, Comd," Cape Kennedy, FL", , 
 \Sav, savior
 DTa106, T:Invitation to an Accident, Gary Merrill, \Und, R:jealous present husband, T:Invitation to an Accident, D:D.Taylor, P:Hitchcock," St:Shamley,CBS"," bnw,TV", Susp, aw, lc, TV(14Jun1959) Le(30m) 
 RrS10, T:Gentlemen Prefer Brunettes, s a, \Und, R:girl's notorious aunt, T:Gentlemen Prefer Brunettes, D:Sale, PN:Sale, SU:," \Tcol, \CS", Comd, H," Paris, France", 
 GRt1," T:Lock, Stock, and Two Smoking Barrels", Sting, \Und, RU:," T:Lock, Stock, and Two Smoking Barrels", D:Ritchie, PN:Matthew Vaughn, SU:, cok, CnR, , , W(Ritchie) T(Longer)
 KV64, T:War and Peace, Anita Ekberg, \Und, RU:, T:War and Peace, D:K.Vidor, P:Carlo Ponti, St:DeLaurentiis, \Tcol, ," AAN, dir", Russia 
 RiF21, T:Crack in the Mirror, Catherine Lacy, \Und, RU:, T:Crack in the Mirror, D:R.Fleischer, P:D.F.Zanuck, St:Fox, bnw, Dram, H, lc, 
 WGi10, T:Day of the Animals, Ruth Roman, \Und, RU:, Tm:Day of the Animals, D:Girdler, PN:Edward L. Montero, St:Film Ventures Int., \DeLuxe, Horr, H, , R(PG) 
 CuB44, T:Kisses for My President, Edward Andrews, \Und, RU:, T:Kisses for My President, D:Bernhardt, P:Bernhardt, St:Warners, bnw, Comd, H," Washington, DC "
